PopNum,NewSiteCode,Latitude,Longitude,range,ecoregion,region,countryORstate,Ann.Mean.Tmp,Mean.Diurn.Rng,Isotherm,Tmp.Seas,Max.Tmp.Wrm.M,Min.Tmp.Cld.M,Tmp.Ann.Rng,Mean.Tmp.Wet.Q,Mean.Tmp.Dry.Q,Mean.Tmp.Wrm.Q,Mean.Tmp.Cld.Q,Ann.Prc,Prc.Wet.M,Prc.Dry.M,Prc.Seas,Prc.Wet.Q,Prc.Dry.Q,Prc.Wrm.Q,Prc.Cld.Q,cmi_max,cmi_mean,cmi_min,cmi_range,gdd0,gdd5,gdd10,gddlgd10,gdgfgd10,gsl,gsp,gst,hurs_max,hurs_mean,hurs_min,hurs_range,kg0,kg1,kg2,kg3,kg4,kg5,ngd0,ngd5,ngd10,npp,pet_penman_max,pet_penman_mean,pet_penman_min,pet_penman_range,rsds_max,rsds_mean,rsds_min,rsds_range,scd,sfcWind_max,sfcWind_mean,sfcWind_min,sfcWind_range,vpd_max,vpd_mean,vpd_min,vpd_range,elev,height,growth,tillersN,leavesN,DTF,panicleHeight,paniclesN,biomass,TotalSeedMass,seedNumber,IndividualSeedMass,id,V1,V2,V3,V4,cluster,envPC1,envPC2,envPC3,envPC4,reg,traitPC1,traitPC2,traitPC3,rs_1_59845995,rs_1_71007448,rs_1_83769052,rs_1_236616590,rs_1_276120572,rs_4_371956276,rs_2_280397781,rs_2_280447160,rs_3_343768622,rs_6_10196144,rs_1_271082849,rs_4_35804244,rs_7_6006832
2,HorseneckBeach1,41.507373,-71.059003,invaded,MIXED_WOOD_PLAINS,Erockies,Massachusetts,2836,39,1.600000024,7259,2954,2711,243,2817,2896,2930,2745,12670,1285,882,117,3434,2855,2902,3170,584,45,-797,1382,38304,23658,12682,311,125,324,11234,2849,6549,6062,5695,854,10,10,10,12,11,10,365,251,187,14464,16553,9825,4637,11915,22125,14547,5994,16131,0,7308,6171,4993,2315,8475,5313,2689,5786,0,14.75797366,7.876161957,6.864954205,48.71986271,225.4867035,24.84136277,2.475861774,999.7933008,58.70793771,34.37229635,1.780999982,204,1.00E-09,1.00E-09,0.425773464,0.574226534,green,-5.114542644,5.536308605,0.421041359,0.659787171,Erockies,2.382730193,-0.091407189,0.759705681,2,2,2,2,2,2,2,2,0,2,2,2,2
5,IslandBeach1,39.799971,-74.093647,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,New_Jersey,2862,67,2.269999981,8030,3012,2717,295,2962,2893,2966,2761,11354,1098,783,99,3029,2691,3006,2736,473,-170,-918,1391,47924,31591,19237,318,101,365,11354,2863,6128,5805,5602,526,9,9,9,12,7,10,365,277,218,15494,18859,10916,4804,14054,22779,15179,6802,15977,0,6544,5748,4586,1958,12513,6962,3062,9451,-2,13.90453027,5.932827106,8.558288754,74.71592753,205.8563955,34.97349798,4.682340708,862.4723678,211.629857,77.1784508,2.49500003,155,1.00E-09,1.00E-09,0.17916912,0.820830878,green,-2.12985865,6.672455712,-1.355207575,1.415402279,Erockies,2.217620967,-0.954462397,0.713974206,2,2,2,2,2,2,2,2,0,2,2,2,2
7,ShaversFork1,38.91184,-79.741269,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,West_Virginia,2831,90,2.900000095,7899,2981,2670,311,2913,2840,2931,2726,16257,1857,1093,186,5249,3424,4845,3481,917,520,54,864,37309,23697,12901,292,106,253,11983,2873,6603,6250,5835,768,10,10,19,12,11,10,305,244,187,14019,14014,7908,2628,11386,21419,14359,6299,15120,106,3710,2956,2006,1704,8326,5080,2039,6287,853,15.83894791,9.284905428,5.727210486,39.79310237,199.9097619,25.50717445,3.809743782,648.6890637,94.9960484,62.03397374,1.87149998,172,1.00E-09,1.00E-09,0.999999997,1.00E-09,green,-6.91344701,4.858882517,-0.835408522,3.873033121,Erockies,0.944139665,-0.270056568,0.334202766,2,2,2,2,2,2,2,2,0,2,2,2,2
8,Jonesboro1,35.843205,-90.680971,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,Arkansas,2891,96,2.930000067,8358,3053,2727,326,2838,2986,2996,2779,12470,1291,751,182,3657,2442,2546,3088,867,-32,-946,1812,58283,40662,26689,322,71,365,12470,2891,5805,5644,5456,349,9,9,9,6,7,23,365,310,252,16494,18316,10436,3586,14730,23566,16212,7767,15799,0,3665,3073,2284,1381,15475,8896,3324,12151,96,17.00945107,11.37969194,5.56797166,31.73412477,187.2813557,28.40765186,2.247258689,602.0017133,232.8239213,70.85324753,3.204999975,181,0.00615816,0.045137226,0.279255292,0.669449322,green,-0.21524301,8.272398717,-1.142826675,2.335839565,Erockies,-0.277440436,0.153057219,-1.226821856,2,2,2,2,2,2,NA,NA,2,2,NA,2,2
9,Carlyle1,38.008612,-95.393791,invaded,GREAT_PLAINS,Erockies,Kansas,2868,98,2.75999999,9268,3049,2694,355,2962,2744,2985,2744,10948,1602,318,427,4294,1204,3799,1204,49,-251,-899,949,49927,34939,22527,309,86,310,10335,2892,5908,5684,5512,396,9,9,9,12,7,10,341,272,224,15112,20632,11335,3898,16733,23983,15947,7639,16344,39,5799,4964,4040,1759,15110,7899,2585,12525,315,15.52014648,8.668399612,7.794502025,47.3961373,185.1251204,27.41157868,1.832824641,817.6155566,139.6806976,61.3005162,2.724999988,190,1.00E-09,1.00E-09,0.022093557,0.977906441,green,0.078087502,5.11939738,-2.638659596,3.349118404,Erockies,1.308691008,-0.287232649,-0.307612552,2,2,2,2,2,2,NA,NA,2,2,2,2,2
10,Fredericksburg1,30.274167,-98.871944,invaded,GREAT_PLAINS,Erockies,Texas,2919,105,3.779999971,6641,3061,2782,279,2986,2830,3001,2830,7930,990,430,284,2591,1369,2155,1369,-25,-474,-1153,1128,68644,50394,32586,344,34,221,7930,2901,5954,5708,5525,429,9,9,9,8,8,30,365,365,311,11940,17825,11088,4748,13076,24161,17484,10215,13946,0,3052,2661,2186,866,16492,10018,5004,11488,536,18.42566426,12.95812515,7.225751541,35.17564073,161.1776846,30.56683758,2.71524634,1072.463522,224.5626841,117.7882389,1.759999954,9,1.00E-09,1.00E-09,1.00E-09,0.999999997,green,3.195523035,8.803325767,-2.470760334,0.48403976,Erockies,0.500571583,2.143493263,0.631711303,2,2,2,2,2,2,0,0,2,2,2,2,2
12,Springer2,36.426194,-99.397131,invaded,GREAT_PLAINS,Erockies,Oklahoma,2878,115,3.210000038,9119,3069,2710,359,2971,2759,2995,2759,6447,961,197,443,2482,700,2270,700,-100,-576,-1417,1317,53644,37399,24558,312,81,196,6447,2860,5521,5366,5175,346,9,9,9,13,8,10,365,283,232,10142,19936,10974,3572,16364,25203,17530,9128,16075,0,4570,3962,3492,1078,17867,9037,3210,14657,602,18.90498604,11.54739846,6.158097786,45.85201889,181.9274276,32.99425362,2.800618532,793.9596847,182.5751376,75.10958626,2.559999912,28,1.00E-09,1.00E-09,0.506150868,0.49384913,green,3.344012978,3.809571423,-2.526583984,1.155615321,Erockies,0.288119509,1.269337897,-0.435010264,2,2,2,2,2,2,2,2,2,2,2,2,2
14,Springer4,35.290937,-99.505347,invaded,GREAT_PLAINS,Erockies,Oklahoma,2885,115,3.299999952,8813,3069,2719,350,2932,2770,2998,2770,6698,987,212,448,2507,727,2222,727,-212,-703,-1705,1493,56343,39246,25865,316,75,194,6698,2873,5571,5405,5186,385,9,9,9,8,8,23,365,296,242,10459,21718,12446,4696,17022,25278,17792,9552,15726,0,5441,4699,4000,1441,18087,9295,3448,14639,577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,1.00E-09,1.00E-09,0.479953367,0.520046631,green,4.231239746,4.524658842,-2.233921377,1.553945622,Erockies,NA,NA,NA,2,2,2,2,2,2,0,0,2,2,0,2,2
15,Springer5,36.61421,-99.571242,invaded,GREAT_PLAINS,Erockies,Oklahoma,2876,118,3.269999981,9133,3069,2708,361,2969,2756,2993,2756,6459,1016,174,462,2516,680,2388,680,-205,-736,-1653,1447,52854,36799,24089,311,82,190,6459,2860,5493,5346,5130,363,9,9,9,13,8,10,365,280,230,10158,22396,12566,4589,17807,25258,17726,9418,15840,0,6004,5194,4639,1365,17766,8959,3180,14586,648,15.17605489,9.744871914,8.99104553,59.17809584,182.2187209,34.55593842,3.261482941,1061.330734,345.8111206,129.6407131,2.444999912,57,1.00E-09,1.00E-09,0.572228867,0.427771131,green,4.129631872,3.707128444,-2.259536017,1.76828395,Erockies,1.483298625,0.600463696,0.696534498,2,2,2,2,2,2,0,0,2,2,2,2,2
17,DryLakes1,34.55595,-119.243453,invaded,MARINE_WEST_COAST_FOREST,Wrockies,California,2867,124,4.75,5230,3015,2753,262,2812,2935,2936,2804,4694,1082,16,971,2845,58,86,2777,616,-646,-1783,2399,49610,31360,15832,321,86,222,4636,2835,5359,4977,4639,720,13,13,13,7,8,27,365,365,236,7785,17991,10275,3176,14815,30410,20253,9478,20932,0,1963,1772,1511,452,13528,8337,4901,8627,1056,21.40555173,15.0500854,8.150284356,51.9037401,188.9459879,39.12637379,3.883887646,1321.59199,364.5610646,107.499265,3.434999912,78,1.00E-09,0.999999997,1.00E-09,1.00E-09,blue,4.295902059,3.575111305,4.351877932,-0.535953251,Wrockies,0.646206832,3.71771266,-1.169275358,2,2,2,2,2,2,0,0,2,0,2,2,2
18,Glyndon1,46.846183,-96.476555,invaded,GREAT_PLAINS,Erockies,Minnesota,2788,98,2.24000001,11972,3006,2568,438,2912,2626,2935,2626,6149,1027,148,568,2634,525,2625,525,64,-311,-876,940,31624,20928,12010,278,120,203,4937,2883,6679,5911,5369,1310,19,19,19,12,13,17,231,196,159,9760,16988,8079,1386,15602,22807,14142,4803,18004,159,4776,4448,3949,828,11200,5185,829,10371,292,15.55899759,11.79145849,10.55908487,67.8423074,204.511018,33.73350424,4.381913006,838.5301884,304.0407143,128.5214358,2.275000085,89,1.00E-09,1.00E-09,0.999999997,1.00E-09,green,-2.663199703,-3.114016539,-3.908444575,2.21509526,Erockies,2.287626768,0.754513403,0.456107891,2,2,2,2,2,2,2,2,0,2,2,2,2
19,Roosevelt1,30.49524167,-100.0180417,invaded,GREAT_PLAINS,Erockies,Texas,2921,113,3.920000076,6921,3067,2778,289,2963,2829,3007,2829,5426,724,265,317,1819,866,1589,866,-273,-787,-1484,1212,69377,51127,33420,342,35,141,5426,2911,5608,5474,5298,310,9,9,9,4,9,27,365,365,308,8801,18894,12218,5575,13319,24551,18318,10925,13626,0,3885,3375,2810,1076,17724,10794,5141,12583,608,15.28490726,10.03213873,5.110975196,28.7726546,187.3563955,26.97349798,2.182340708,395.8292479,295.879857,83.51204164,3.314999997,97,1.00E-09,1.00E-09,0.48026695,0.519733048,green,5.368295969,7.642695755,-2.742991019,0.279219327,Erockies,-0.668469049,-1.028850799,-1.168398093,2,2,2,2,2,2,0,0,2,2,0,2,2
20,Troy1,31.842615,-85.892871,invaded,SOUTHEASTERN_PLAINS_FORESTS,Erockies,Alabama,2912,103,3.75,6488,3050,2775,275,2841,2917,2992,2825,14360,1586,825,165,4091,3050,3952,3758,692,51,-675,1367,65839,47589,30068,344,42,365,14360,2912,6194,5859,5554,640,9,9,9,6,7,30,365,365,303,18033,16757,11116,5064,11693,22413,16496,9194,13219,0,3637,3091,2278,1359,13245,9094,4520,8725,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,1.00E-09,1.00E-09,0.48088888,0.519111118,green,-0.667181131,11.61111159,-0.893568482,2.85651056,Erockies,NA,NA,NA,2,2,2,2,2,2,0,0,2,2,0,2,2
22,PagosaSpgs_CO,37.28137,-107.06855,invaded,WESTERN_CORDILLERA,Wrockies,Colorado,2784,134,3.720000029,8140,2978,2617,361,2847,2821,2891,2682,6692,706,254,219,2059,1161,1523,1746,325,-311,-1278,1603,24257,13832,6124,271,143,164,3221,2856,5991,5421,4659,1332,19,19,19,12,12,11,241,179,129,10019,15240,8522,2319,12921,28995,19722,10144,18851,185,1939,1689,1486,453,9763,4878,1600,8163,2320,13.2551611,6.096671973,5.384990367,36.23461833,189.5970048,28.64923374,2.006827354,384.8247787,181.3630946,58.17351349,3.000000085,122,2.86E-05,0.643996808,1.00E-09,0.35597462,admixed,-1.431539356,-3.86480271,1.166104575,2.414266835,Wrockies,-0.028654251,-2.333706336,-0.428114167,2,2,2,2,2,NA,NA,NA,NA,NA,2,NA,2
